Item,Kind,Question,A,B,C,D
P38,CHOICE,"A word whose definition is: ""to come upon or discover, either by seeking or by chance; to come upon or discover, either by seeking or by chance"". Which word is it?",end (happening X ends at time T),repair (X repairs Y),find (X finds Y),rock
P39,CHOICE,"Which option gives the meaning of the word ""hug""?","a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in; a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in; a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in","deprived of life, every vital function at a permanent end; deprived of life, every vital function at a permanent end","an image of some person, scene, or object, set down on a flat surface; an image of some person, scene, or object, set down on a flat surface; an image of some person, scene, or object, set down on a flat surface","an embrace, the arms being clasped about another person in affection; an embrace, the arms being clasped about another person in affection; an embrace, the arms being clasped about another person in affection; an embrace, the arms being clasped about another person in affection"
P40,CHOICE,"Which option gives the meaning of the word ""has part (X has part Y)""?","to retain past knowledge in the mind, or call it back when wanted; to retain past knowledge in the mind, or call it back when wanted","a stiff-sided container, commonly lidded, used for holding or carrying goods; a stiff-sided container, commonly lidded, used for holding or carrying goods; a stiff-sided container, commonly lidded, used for holding or carrying goods",to include something as a constituent or member of the whole,"to lend aid, furthering what another is trying to do"
P41,CHOICE,"A word whose definition is: ""to fashion out of parts or materials, bringing a new thing into existence"". Which word is it?",part of (X is part of Y),teacher,make (X makes Y),event
P42,CHOICE,"Which option gives the meaning of the word ""inside (X is inside Y)""?","to occasion or bring about, as one happening gives rise to the next; to occasion or bring about, as one happening gives rise to the next","obliging, and quick to give assistance when it is wanted; obliging, and quick to give assistance when it is wanted",located within something else and enclosed by its bounds,to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth
P43,CLAIM,"According to the definition of ""walk"", is the following true of walk? ""serviceable for some practical end or purpose"" Answer yes or no.",,,,
P44,CHOICE,"A word whose definition is: ""one who utters falsehoods, knowing them to be false; one who utters falsehoods, knowing them to be false; one who utters falsehoods, knowing them to be false"". Which word is it?",visible,celebration,liar,clothes
P45,CHOICE,"A word whose definition is: ""to enter on a course, state, or operation, or set one going; to enter on a course, state, or operation, or set one going"". Which word is it?",begin (happening X begins at time T),bookmark,remember (X remembers Y),tree
P46,CLAIM,"According to the definition of ""repair (X repairs Y)"", is the following true of repair (X repairs Y)? ""to mend, restoring what is damaged or worn to sound condition"" Answer yes or no.",,,,
P47,CLAIM,"According to the definition of ""night"", is the following true of night? ""the hours of darkness between sunset and the next sunrise"" Answer yes or no.",,,,
P48,CHOICE,"Which option gives the meaning of the word ""water""?","the clear tasteless liquid of rain, rivers, and seas; the clear tasteless liquid of rain, rivers, and seas; the clear tasteless liquid of rain, rivers, and seas; the clear tasteless liquid of rain, rivers, and seas",serviceable for some practical end or purpose; serviceable for some practical end or purpose; serviceable for some practical end or purpose,"to enter on a course, state, or operation, or set one going; to enter on a course, state, or operation, or set one going",the male parent of a child; the male parent of a child; the male parent of a child; the male parent of a child; the male parent of a child
P49,CLAIM,"According to the definition of ""kind (gufo:Kind, sortal type)"", is the following true of kind (gufo:Kind, sortal type)? ""the class to which a thing belongs by its very nature, so that it remains of that class for as long as it exists"" Answer yes or no.",,,,
P50,CHOICE,"A word whose definition is: ""a look of pleasure or goodwill in which the corners of the mouth turn upward; a look of pleasure or goodwill in which the corners of the mouth turn upward"". Which word is it?",smile,remember (X remembers Y),useful (of a something),dead
P51,CLAIM,"According to the definition of ""lost"", is the following true of lost? ""to come upon or discover, either by seeking or by chance"" Answer yes or no.",,,,
P52,CHOICE,"A word whose definition is: ""to let something once known slip wholly from the mind; to let something once known slip wholly from the mind"". Which word is it?",bookmark,forget (X forgets Y),afraid,house
P53,CHOICE,"Which option gives the meaning of the word ""house""?","a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in; a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in; a small furred domestic carnivore, whiskered and soft-footed, with claws it can draw in","a building in which people dwell, most commonly the home of a single family; a building in which people dwell, most commonly the home of a single family; a building in which people dwell, most commonly the home of a single family","radiant energy of the kind the eye perceives, whereby things become visible; radiant energy of the kind the eye perceives, whereby things become visible; radiant energy of the kind the eye perceives, whereby things become visible; radiant energy of the kind the eye perceives, whereby things become visible",an adult human being of the female sex; an adult human being of the female sex; an adult human being of the female sex
P54,CHOICE,"Which option gives the meaning of the word ""thief""?","to hold something to be true, often on trust rather than proof; to hold something to be true, often on trust rather than proof","a road vehicle, driven by a motor, that seats a driver and a few passengers; a road vehicle, driven by a motor, that seats a driver and a few passengers; a road vehicle, driven by a motor, that seats a driver and a few passengers","the firm surface of the earth, together with the soil that forms it; the firm surface of the earth, together with the soil that forms it","one who steals what belongs to others, secretly and without any claim of right; one who steals what belongs to others, secretly and without any claim of right"
P55,CHOICE,"Which option gives the meaning of the word ""alive""?",to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth; to chew and swallow food taken in at the mouth,"the star at the center of our planetary system, source of the earth's light and heat; the star at the center of our planetary system, source of the earth's light and heat; the star at the center of our planetary system, source of the earth's light and heat","possessed of life, the vital functions still going on; possessed of life, the vital functions still going on","the blossom of a plant, bearing the organs of its reproduction; the blossom of a plant, bearing the organs of its reproduction; the blossom of a plant, bearing the organs of its reproduction; the blossom of a plant, bearing the organs of its reproduction"
P56,CHOICE,"Which option gives the meaning of the word ""find (X finds Y)""?","to occasion or bring about, as one happening gives rise to the next; to occasion or bring about, as one happening gives rise to the next","radiant energy of the kind the eye perceives, whereby things become visible; radiant energy of the kind the eye perceives, whereby things become visible; radiant energy of the kind the eye perceives, whereby things become visible; radiant energy of the kind the eye perceives, whereby things become visible",of the color of fresh blood or of a ripe cherry; of the color of fresh blood or of a ripe cherry; of the color of fresh blood or of a ripe cherry,"to come upon or discover, either by seeking or by chance; to come upon or discover, either by seeking or by chance"
P57,CHOICE,"A word whose definition is: ""deserving of confidence, being honest and reliable in word and deed; deserving of confidence, being honest and reliable in word and deed; deserving of confidence, being honest and reliable in word and deed"". Which word is it?",flower,eye,trustworthy,repair (X repairs Y)
P58,CHOICE,"Which option gives the meaning of the word ""mother""?","open to sight, whether by the naked eye or with an instrument's aid","to move on foot at speed, both feet leaving the ground in each stride; to move on foot at speed, both feet leaving the ground in each stride","the woman who has borne a child, its female parent; the woman who has borne a child, its female parent; the woman who has borne a child, its female parent","the body's uppermost division, housing the brain and the chief organs of sense; the body's uppermost division, housing the brain and the chief organs of sense; the body's uppermost division, housing the brain and the chief organs of sense"
P59,CHOICE,"A word whose definition is: ""contrary to what morality requires, and hence blameworthy; contrary to what morality requires, and hence blameworthy; contrary to what morality requires, and hence blameworthy"". Which word is it?",change (the event),event,rabbit,wrong (of a doable something)
P60,CLAIM,"According to the definition of ""cry"", is the following true of cry? ""to fracture or force apart, as by a blow, or put a device out of working order"" Answer yes or no.",,,,
