id,position,question,allowed_answers,your_answer_judge3,comment
"dqat:covered:kind (gufo:Kind, sortal type):t1",108,"Which option gives the meaning of the word ""kind (gufo:Kind, sortal type)""?
0. {'key': 'A', 'text': 'some something is of this kind; it cannot not be of this kind; people can know: it is one something; people can know: it is not two somethings; people can know: it is the same something people saw before.'}
1. {'key': 'B', 'text': 'a thing of one kind; people make things of this kind; it is big: people can be inside it; it can move on the ground; when people are inside it when it moves, they can be in another place, very far, after a short time'}
2. {'key': 'C', 'text': ""this something is words. Someone says them to someone else, saying: 'after now I will do something; I know you want it; (because I say this) you can know: after now I will do it.'""}
3. {'key': 'D', 'text': 'this something is words; someone says them to someone else; this someone knows they are not true; this someone says them because this someone wants the other someone to think they are true.'}","['A', 'B', 'C', 'D', 'NONE']",,
"dqat:covered:kind (gufo:Kind, sortal type):t2",308,"A word whose definition is: ""some something is of this kind; it cannot not be of this kind; people can know: it is one something; people can know: it is not two somethings; people can know: it is the same something people saw before."". Which word is it?
0. {'key': 'A', 'text': 'kind (gufo:Kind, sortal type)'}
1. {'key': 'B', 'text': 'light'}
2. {'key': 'C', 'text': 'broken'}
3. {'key': 'D', 'text': 'water'}","['A', 'B', 'C', 'D', 'NONE']",,
"dqat:covered:kind (gufo:Kind, sortal type):t3",353,"According to the definition of ""kind (gufo:Kind, sortal type)"", is the following true of kind (gufo:Kind, sortal type)? ""people can know: it is the same something people saw before"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:laugh:t2,346,"A word whose definition is: ""someone's body does something of one kind: the mouth moves, other people can hear something because of it; someone does not do it because this someone wants it: it happens when this someone feels something very good; when other people hear it, they can feel something good"". Which word is it?
0. {'key': 'A', 'text': 'animal'}
1. {'key': 'B', 'text': 'mouth'}
2. {'key': 'C', 'text': 'laugh'}
3. {'key': 'D', 'text': 'maker of (X is the maker of Y)'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:make (X makes Y):t3,234,"According to the definition of ""make (X makes Y)"", is the following true of make (X makes Y)? ""X happens at some time"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:music:t4,232,"According to the definition of ""music"", is the following true of music? ""people do things because they want other people to hear it"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:reminder (the made something):t3,7,"According to the definition of ""reminder (the made something)"", is the following true of reminder (the made something)? ""because of this, there is this something"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:right (of a doable something):t1,9,"Which option gives the meaning of the word ""right (of a doable something)""?
0. {'key': 'A', 'text': 'X knew this something before now; because X knew it before, X can think about it now; X knows it now.'}
1. {'key': 'B', 'text': 'an animal of one kind; many of them live with people, in the places where people live; when something happens near it, it does something, people can hear this from far; many people feel something good toward them, they feel something good toward people'}
2. {'key': 'C', 'text': 'a thing of one kind; people make things of this kind; it is not like other things: all its sides are the same; when someone does something to it with the hand, it can move on the ground for some time; children do things with it at many times because it feels good'}
3. {'key': 'D', 'text': ""people think like this about this something: 'if someone does it, it is a good something'; people can know: it is a good something.""}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:sky:t3,140,"According to the definition of ""sky"", is the following true of sky? ""many people feel something good when they see one"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:sun:t4,299,"According to the definition of ""sun"", is the following true of sun? ""at this time X happens"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:take (X takes Y):t1,49,"Which option gives the meaning of the word ""take (X takes Y)""?
0. {'key': 'A', 'text': ""if this someone says some words of kind promise, this someone does something after; this someone does not say things of kind lie; other people can think: 'this someone is a good someone'.""}
1. {'key': 'B', 'text': 'the very big place above all other places; when someone is not inside something, this someone can see it above them; the sun is in this place; at some times people can see other things in this place, some of these things move'}
2. {'key': 'C', 'text': 'Y wants to do something; because X does something, Y can do it.'}
3. {'key': 'D', 'text': ""X does something with Y at some time; before this time X could not say 'Y is mine'; after this time X can say 'Y is mine'.""}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:take (X takes Y):t2,53,"A word whose definition is: ""X does something with Y at some time; before this time X could not say 'Y is mine'; after this time X can say 'Y is mine'."". Which word is it?
0. {'key': 'A', 'text': 'sun'}
1. {'key': 'B', 'text': 'sky'}
2. {'key': 'C', 'text': 'take (X takes Y)'}
3. {'key': 'D', 'text': 'maker of (X is the maker of Y)'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:thief:t1,11,"Which option gives the meaning of the word ""thief""?
0. {'key': 'A', 'text': ""X thinks like this about this something: 'it is true'; X does not know that it is true.""}
1. {'key': 'B', 'text': 'a thing of one kind; people make things of this kind; it is big: people can be inside it; it can move on the ground; when people are inside it when it moves, they can be in another place, very far, after a short time'}
2. {'key': 'C', 'text': ""the place below people; when someone moves, this someone's body touches it; all things in a place are above it, on it; some things are inside it, people cannot see these things""}
3. {'key': 'D', 'text': 'because this someone does many things, many somethings of kind take happen; other people do not want somethings of this kind to happen; this someone does not want other people to see this someone.'}","['A', 'B', 'C', 'D', 'NONE']",,
dqat:covered:useful (of a something):t3,63,"According to the definition of ""useful (of a something)"", is the following true of useful (of a something)? ""because of this, this someone feels something good"" Answer yes or no.","['yes', 'no', 'cannot say']",,
dqat:covered:visible:t1,337,"Which option gives the meaning of the word ""visible""?
0. {'key': 'A', 'text': 'this something is words; someone says them to someone else; this someone knows they are not true; this someone says them because this someone wants the other someone to think they are true.'}
1. {'key': 'B', 'text': 'something of one kind; people can know it about a thing when they see this thing; two things can be the same in this way; someone cannot know it about a thing if this someone cannot see; there are many kinds of it'}
2. {'key': 'C', 'text': 'if someone wants to see this something, this someone can see it; people can see it.'}
3. {'key': 'D', 'text': 'before now, some something of kind lose happened; someone does not know now at which place this something is.'}","['A', 'B', 'C', 'D', 'NONE']",,
